timeStamp,elapsed,label,responseCode,responseMessage,success,failureMessage,Latency,IdleTime,Connect
1778508991887,45,H,200,,true,,42,0,14
1778508991936,17,L,200,,true,,4,0,0
1778508991954,32,LP,200,,true,,24,0,0
1778508991989,44,LatP,200,,true,,37,0,0
1778508992034,44,Ad,200,,true,,11,0,0
1778508992079,23,LP_D,200,,true,,14,0,0
1778508992104,32,Ad2,200,,true,,6,0,0
1778508992137,23,Out,200,,true,,5,0,0
1778508992162,6,H,200,,true,,6,0,0
1778508992169,11,L,200,,true,,2,0,0
1778508992180,27,LP,200,,true,,19,0,0
1778508992209,39,LatP,200,,true,,32,0,0
1778508992249,40,Ad,200,,true,,7,0,0
1778508992289,27,LP_D,200,,true,,19,0,0
1778508992318,37,Ad2,200,,true,,7,0,0
1778508992356,10,Out,200,,true,,4,0,0
1778508992367,5,H,200,,true,,5,0,0
1778508992373,7,L,200,,true,,2,0,0
1778508992381,17,LP,200,,true,,8,0,0
1778508992399,22,LatP,200,,true,,14,0,0
1778508992422,19,Ad,200,,true,,3,0,0
1778508992442,18,LP_D,200,,true,,9,0,0
1778508992461,18,Ad2,200,,true,,4,0,0
1778508992480,8,Out,200,,true,,3,0,0
1778508992489,5,H,200,,true,,4,0,0
1778508992494,6,L,200,,true,,2,0,0
1778508992501,21,LP,200,,true,,9,0,0
1778508992524,26,LatP,200,,true,,14,0,0
1778508992551,24,Ad,200,,true,,4,0,0
1778508992576,25,LP_D,200,,true,,12,0,0
1778508992602,30,Ad2,200,,true,,6,0,0
1778508992632,16,Out,200,,true,,8,0,0
1778508992649,7,H,200,,true,,6,0,0
1778508992656,9,L,200,,true,,1,0,0
1778508992665,26,LP,200,,true,,14,0,0
1778508992692,35,LatP,200,,true,,23,0,0
1778508992728,29,Ad,200,,true,,5,0,0
1778508992757,26,LP_D,200,,true,,14,0,0
1778508992785,30,Ad2,200,,true,,5,0,0
1778508992816,13,Out,200,,true,,5,0,0
1778508992830,7,H,200,,true,,6,0,0
1778508992837,9,L,200,,true,,2,0,0
1778508992846,22,LP,200,,true,,14,0,0
1778508992869,31,LatP,200,,true,,23,0,0
1778508992900,28,Ad,200,,true,,5,0,0
1778508992929,22,LP_D,200,,true,,13,0,0
1778508992952,30,Ad2,200,,true,,6,0,0
1778508992983,13,Out,200,,true,,5,0,0
1778508992996,7,H,200,,true,,7,0,0
1778508993004,9,L,200,,true,,2,0,0
1778508993014,22,LP,200,,true,,13,0,0
1778508993037,31,LatP,200,,true,,23,0,0
1778508993068,29,Ad,200,,true,,5,0,0
1778508993097,23,LP_D,200,,true,,14,0,0
1778508993121,30,Ad2,200,,true,,6,0,0
1778508993152,12,Out,200,,true,,4,0,0
1778508993165,7,H,200,,true,,7,0,0
1778508993173,8,L,200,,true,,1,0,0
1778508993181,30,LP,200,,true,,17,0,0
1778508993212,35,LatP,200,,true,,23,0,0
1778508993247,34,Ad,200,,true,,5,0,0
1778508993282,31,LP_D,200,,true,,18,0,0
1778508993314,23,Ad2,200,,true,,5,0,0
1778508993338,10,Out,200,,true,,3,0,0
1778508993348,6,H,200,,true,,6,0,0
1778508993355,8,L,200,,true,,2,0,0
1778508993363,25,LP,200,,true,,16,0,0
1778508993389,37,LatP,200,,true,,29,0,1
1778508993427,35,Ad,200,,true,,6,0,0
1778508993463,26,LP_D,200,,true,,18,0,0
1778508993490,36,Ad2,200,,true,,7,0,0
1778508993526,11,Out,200,,true,,4,0,0
1778508993538,6,H,200,,true,,5,0,0
1778508993545,6,L,200,,true,,1,0,0
1778508993551,19,LP,200,,true,,10,0,0
1778508993571,22,LatP,200,,true,,14,0,0
1778508993594,17,Ad,200,,true,,3,0,0
1778508993612,18,LP_D,200,,true,,9,0,0
1778508993631,17,Ad2,200,,true,,4,0,0
1778508993649,8,Out,200,,true,,3,0,0
1778508993658,5,H,200,,true,,4,0,0
1778508993663,7,L,200,,true,,2,0,0
1778508993670,18,LP,200,,true,,8,0,0
1778508993688,23,LatP,200,,true,,15,0,0
1778508993711,33,Ad,200,,true,,4,0,0
1778508993744,27,LP_D,200,,true,,18,0,0
1778508993772,41,Ad2,200,,true,,8,0,0
1778508993814,14,Out,200,,true,,5,0,0
1778508993829,8,H,200,,true,,7,0,0
1778508993837,11,L,200,,true,,2,0,0
1778508993848,26,LP,200,,true,,18,0,0
1778508993875,36,LatP,200,,true,,28,0,0
1778508993912,35,Ad,200,,true,,6,0,0
1778508993948,26,LP_D,200,,true,,18,0,0
1778508993975,38,Ad2,200,,true,,7,0,0
1778508994013,15,Out,200,,true,,5,0,0
1778508994028,9,H,200,,true,,8,0,0
1778508994037,11,L,200,,true,,2,0,0
1778508994048,26,LP,200,,true,,18,0,0
1778508994075,37,LatP,200,,true,,29,0,0
1778508994112,36,Ad,200,,true,,6,0,0
1778508994149,26,LP_D,200,,true,,17,0,0
1778508994176,41,Ad2,200,,true,,7,0,0
1778508994218,9,Out,200,,true,,3,0,0
1778508994228,5,H,200,,true,,4,0,0
1778508994233,8,L,200,,true,,2,0,0
