timeStamp,elapsed,label,responseCode,responseMessage,success,failureMessage,Latency,IdleTime,Connect
1778501791828,3014,H,200,,true,,3011,0,14
1778501794845,43,L,200,,true,,8,0,0
1778501794889,1051,LP,200,,true,,1041,0,0
1778501795943,975,LatP,200,,true,,968,0,0
1778501796919,1457,Ad,200,,true,,616,0,0
1778501798377,44,LP_D,200,,true,,35,0,0
1778501798423,101,Ad2,200,,true,,16,0,0
1778501798525,50,Out,200,,true,,20,0,0
1778501798576,20,H,200,,true,,20,0,0
1778501798597,19,L,200,,true,,3,0,0
1778501798616,191,LP,200,,true,,178,0,0
1778501798808,71,LatP,200,,true,,59,0,0
1778501798880,98,Ad,200,,true,,18,0,0
1778501798979,248,LP_D,200,,true,,235,0,0
1778501799228,99,Ad2,200,,true,,17,0,0
1778501799328,35,Out,200,,true,,15,0,0
1778501799364,17,H,200,,true,,16,0,0
1778501799381,20,L,200,,true,,3,0,0
1778501799402,119,LP,200,,true,,111,0,0
1778501799522,77,LatP,200,,true,,69,0,0
1778501799600,76,Ad,200,,true,,14,0,0
1778501799678,47,LP_D,200,,true,,39,0,0
1778501799726,82,Ad2,200,,true,,18,0,0
1778501799809,27,Out,200,,true,,12,0,0
1778501799837,14,H,200,,true,,13,0,0
1778501799851,15,L,200,,true,,2,0,0
1778501799866,114,LP,200,,true,,103,0,0
1778501799981,59,LatP,200,,true,,50,0,0
1778501800040,61,Ad,200,,true,,11,0,0
1778501800101,125,LP_D,200,,true,,115,0,0
1778501800228,67,Ad2,200,,true,,12,0,0
1778501800296,24,Out,200,,true,,10,0,0
1778501800321,12,H,200,,true,,11,0,0
1778501800334,13,L,200,,true,,2,0,0
1778501800348,35,LP,200,,true,,27,0,0
1778501800384,61,LatP,200,,true,,53,0,0
1778501800445,66,Ad,200,,true,,11,0,0
1778501800512,110,LP_D,200,,true,,101,0,0
1778501800623,72,Ad2,200,,true,,13,0,0
1778501800696,23,Out,200,,true,,9,0,0
1778501800720,11,H,200,,true,,11,0,0
1778501800732,15,L,200,,true,,2,0,0
1778501800748,32,LP,200,,true,,24,0,0
1778501800781,60,LatP,200,,true,,52,0,0
1778501800842,62,Ad,200,,true,,14,0,0
1778501800905,101,LP_D,200,,true,,92,0,0
1778501801007,75,Ad2,200,,true,,13,0,0
1778501801083,25,Out,200,,true,,10,0,0
1778501801109,12,H,200,,true,,11,0,0
1778501801121,13,L,200,,true,,2,0,0
1778501801135,40,LP,200,,true,,27,0,0
1778501801176,60,LatP,200,,true,,48,0,0
1778501801237,90,Ad,200,,true,,13,0,0
1778501801328,61,LP_D,200,,true,,48,0,0
1778501801391,111,Ad2,200,,true,,15,0,0
1778501801503,47,Out,200,,true,,25,0,0
1778501801551,18,H,200,,true,,18,0,0
1778501801570,17,L,200,,true,,2,0,0
1778501801588,49,LP,200,,true,,39,0,0
1778501801638,76,LatP,200,,true,,67,0,0
1778501801715,90,Ad,200,,true,,14,0,0
1778501801805,103,LP_D,200,,true,,93,0,0
1778501801909,59,Ad2,200,,true,,13,0,0
1778501801969,21,Out,200,,true,,8,0,0
1778501801991,11,H,200,,true,,11,0,0
1778501802003,13,L,200,,true,,2,0,0
1778501802017,33,LP,200,,true,,24,0,0
